code,seats,change,votepercent,votepercentchange
conservative,264,-39,33.0,-2.9225509752223218
labour,295,38,32.98,4.089126975400134
libdems,20,-36,8.79,-14.162395057095868
ukip,5,3,13.14,9.85739172695541
snp,43,37,3.44,1.7901694817715896
plaidcymru,3,0,0.51,-0.04531103599180619
green,1,0,4.53,3.4509586117445696
uu,0,0,0.29,-0.107928030489092
sdlp,3,0,0.35,-0.02465045444321856
dup,9,1,0.58,0.0005149343629768932
sinnfein,5,0,0.57,-0.0007018348659276752
alliance,0,-1,0.13,-0.014580842303101443
other,2,-3,1.68,-1.9200434998233449
total,650,,100.00,
